date,SNP,ford,google,vestas,aapl
2016-12-09,4313.60986328125,10.9109296798706,809.450012207031,17.6458492279052,109.17911529541
2016-12-12,4308.93994140625,10.6209630966186,807.900024414062,17.9974365234375,108.55630493164
2016-12-13,4337.85986328125,10.5795412063598,815.340026855468,18.3870334625244,110.367195129394
2016-12-14,4302.93017578125,10.3807077407836,817.890014648437,18.4915561676025,110.367195129394
2016-12-15,4319.83984375,10.4221305847167,815.650024414062,18.7861309051513,110.970809936523
2016-12-16,4312.39990234375,10.4635543823242,809.840026855468,19.0426940917968,111.114532470703
2016-12-19,4321.02001953125,10.4884071350097,812.5,18.8716526031494,111.756469726562
2016-12-20,4337.35986328125,10.5878238677978,815.200012207031,19.1757259368896,112.053489685058
2016-12-21,4326.85009765625,10.4718389511108,812.200012207031,19.5178108215332,112.158889770507
2016-12-22,4319.330078125,10.2730064392089,809.679992675781,19.6033306121826,111.42113494873
2016-12-23,4325.169921875,10.3227128982543,807.799987792968,19.5083084106445,111.641487121582
2016-12-27,4334.93017578125,10.264720916748,809.929992675781,19.5843276977539,112.350517272949
2016-12-28,4299.4501953125,10.1487350463867,804.570007324218,19.75537109375,111.871452331542
2016-12-29,4298.39013671875,10.1321678161621,802.880004882812,20.0499420166015,111.842704772949
2016-12-30,4278.66015625,10.0493192672729,792.450012207031,20.6390857696533,110.970809936523
2017-01-03,4315.080078125,10.430417060852,808.010009765625,20.9051532745361,111.286987304687
2017-01-04,4340.75,10.9109296798706,807.77001953125,20.7721195220947,111.162437438964
2017-01-05,4337.4501953125,10.5795412063598,813.02001953125,21.0856971740722,111.727714538574
2017-01-06,4354.0498046875,10.5712566375732,825.210021972656,21.1617164611816,112.973304748535
2017-01-09,4338.6201171875,10.4635543823242,827.179992675781,21.209228515625,114.008079528808
2017-01-10,4338.64013671875,10.6458187103271,826.010009765625,21.4182796478271,114.123046875
2017-01-11,4351.31982421875,10.4966945648193,829.859985351562,21.5798187255859,114.736274719238
